数据类型,订单号,采购单号,物料ID,供应商代码,变更类型,原交付日期,新交付日期,变更天数,变更原因,变更来源,变更时间
交期变更记录,SO-2026-01558,PO20260900549,P0003,SUP026,供应商延期,2026/9/17,2026/9/26,9,质量检验不合格返工,计划员,2026/9/9
交期变更记录,SO-2026-12499,PO20260600550,P0026,SUP026,供应商延期,2026/6/14,2026/6/27,13,供应商原材料短缺,计划员,2026/6/11
交期变更记录,SO-2026-02456,PO20260600551,P0012,SUP020,供应商延期,2026/6/8,2026/6/27,19,恶劣天气影响运输,计划员,2026/5/11
交期变更记录,SO-2026-04597,PO20261200552,P0010,SUP009,物料短缺,2026/12/18,2026/12/5,-13,显示屏面板缺货,采购员,2026/12/1
交期变更记录,SO-2026-02250,PO20261100553,P0074,SUP027,供应商延期,2026/11/17,2026/11/23,6,环保检查停产整顿,系统,2026/11/3
交期变更记录,SO-2026-08262,PO20261200554,P0092,SUP037,供应商延期,2026/12/10,2026/12/25,15,产能已被其他大客户占用,计划员,2026/11/28
交期变更记录,SO-2026-07206,PO20261200555,P0077,SUP010,供应商延期,2026/12/29,2027/1/17,19,质量检验不合格返工,计划员,2026/12/4
交期变更记录,SO-2026-02977,PO20261000556,P0009,SUP026,供应商延期,2026/10/17,2026/11/2,16,恶劣天气影响运输,系统,2026/10/2
交期变更记录,SO-2026-11034,,P0041,SUP028,客户加急,2026/6/13,2026/6/3,-10,客户展会提前需要,计划员,2026/5/27
交期变更记录,SO-2026-03442,PO20261200558,P0069,SUP017,供应商延期,2026/12/17,2027/1/3,17,质量检验不合格返工,系统,2026/12/10
交期变更记录,SO-2026-02617,PO20261100559,P0011,SUP013,客户加急,2026/11/4,2026/10/31,-4,终端客户大促活动提前,计划员,2026/10/30
交期变更记录,SO-2026-08221,PO20260400560,P0017,SUP001,供应商延期,2026/4/2,2026/4/3,1,物流运输途中延误,系统,2026/3/12
交期变更记录,SO-2026-09777,PO20270300561,P0055,SUP030,供应商提前,2027/3/7,2027/3/5,-2,供应商产能释放提前,采购员,2027/2/11
交期变更记录,SO-2026-02628,PO20260600562,P0082,SUP020,客户加急,2026/6/17,2026/6/3,-14,终端市场需求激增,系统,2026/5/20
交期变更记录,SO-2026-01054,,P0041,SUP005,供应商延期,2026/10/29,2026/11/17,19,供应商产线故障维修,计划员,2026/10/12
交期变更记录,SO-2026-02501,,P0027,SUP021,物流问题,2027/3/18,2027/3/28,10,跨境物流清关延迟,系统,2027/2/27
交期变更记录,SO-2026-10894,PO20260600565,P0003,SUP021,客户加急,2026/6/14,2026/6/5,-9,竞品上市压力,系统,2026/5/21
交期变更记录,SO-2026-01289,,P0033,SUP009,物流问题,2027/1/2,2027/1/16,14,港口拥堵导致船期延误,系统,2026/12/10
交期变更记录,SO-2026-05665,,P0077,SUP034,客户加急,2027/2/22,2027/2/7,-15,客户生产线紧急启动,系统,2027/2/21
交期变更记录,SO-2026-12311,PO20260800568,P0039,SUP028,供应商延期,2026/8/17,2026/9/2,16,供应商产线故障维修,系统,2026/8/8
交期变更记录,SO-2026-10632,,P0081,SUP026,供应商延期,2026/6/12,2026/7/2,20,原材料到货延迟,采购员,2026/5/15
交期变更记录,SO-2026-06366,PO20260800570,P0039,SUP009,供应商延期,2026/8/16,2026/9/3,18,供应商产线故障维修,系统,2026/8/4
交期变更记录,SO-2026-06878,PO20260800571,P0058,SUP029,供应商延期,2026/8/19,2026/8/20,1,供应商原材料短缺,采购员,2026/8/2
交期变更记录,SO-2026-07825,,P0053,SUP031,供应商延期,2026/4/25,2026/5/6,11,物流运输途中延误,计划员,2026/4/24
交期变更记录,SO-2026-08112,,P0099,SUP032,供应商延期,2026/7/2,2026/7/12,10,春节假期停工导致产能不足,计划员,2026/6/29
交期变更记录,SO-2026-11354,PO20260600574,P0018,SUP021,客户加急,2026/6/15,2026/6/7,-8,客户展会提前需要,系统,2026/5/30
交期变更记录,SO-2026-13507,,P0048,SUP011,供应商延期,2026/7/23,2026/7/30,7,产能已被其他大客户占用,采购员,2026/7/9
交期变更记录,SO-2026-13732,PO20260700576,P0040,SUP012,供应商延期,2026/7/28,2026/8/16,19,产能已被其他大客户占用,计划员,2026/7/1
交期变更记录,SO-2026-11273,PO20260600577,P0083,SUP005,客户加急,2026/6/14,2026/6/8,-6,项目验收节点提前,计划员,2026/6/7
交期变更记录,SO-2026-13679,PO20260700578,P0095,SUP020,供应商延期,2026/7/29,2026/8/5,7,物流运输途中延误,系统,2026/7/19
交期变更记录,SO-2026-04631,PO20260200579,P0092,SUP019,供应商延期,2026/2/11,2026/2/26,15,原材料到货延迟,采购员,2026/1/26
交期变更记录,SO-2026-04281,PO20270100580,P0080,SUP035,供应商延期,2027/1/30,2027/2/14,15,产能已被其他大客户占用,供应商,2027/1/19
交期变更记录,SO-2026-12113,PO20260800581,P0088,SUP031,客户延后,2026/8/6,2026/8/11,5,客户项目延期,客户,2026/7/17
交期变更记录,SO-2026-04484,PO20270300582,P0074,SUP003,供应商延期,2027/3/2,2027/3/18,16,工人返岗率不足,计划员,2027/2/7
交期变更记录,SO-2026-13956,PO20260700583,P0071,SUP035,供应商延期,2026/7/29,2026/8/4,6,供应商产线故障维修,计划员,2026/7/16
交期变更记录,SO-2026-04898,PO20261100584,P0072,SUP003,供应商延期,2026/11/19,2026/11/28,9,供应商产线故障维修,采购员,2026/11/7
交期变更记录,SO-2026-07333,PO20260800585,P0068,SUP023,供应商延期,2026/8/25,2026/9/6,12,供应商产线故障维修,计划员,2026/7/30
交期变更记录,SO-2026-09047,,P0028,SUP017,供应商延期,2027/5/7,2027/5/22,15,供应商原材料短缺,系统,2027/4/29
交期变更记录,SO-2026-09561,,P0052,SUP026,客户加急,2026/10/9,2026/9/25,-14,竞品上市压力,系统,2026/10/8
交期变更记录,SO-2026-13409,PO20260800588,P0050,SUP016,供应商延期,2026/8/20,2026/8/21,1,原材料到货延迟,系统,2026/8/9
交期变更记录,SO-2026-03460,,P0035,SUP035,物料短缺,2027/1/25,2027/1/11,-14,关键芯片供应紧张,计划员,2027/1/17
交期变更记录,SO-2026-05442,,P0073,SUP035,客户加急,2026/8/16,2026/8/13,-3,客户展会提前需要,系统,2026/8/15
交期变更记录,SO-2026-09698,PO20270400591,P0025,SUP025,客户加急,2027/4/24,2027/4/18,-6,终端市场需求激增,系统,2027/3/31
交期变更记录,SO-2026-01410,PO20260600592,P0030,SUP033,客户加急,2026/6/28,2026/6/16,-12,展会样品急需,系统,2026/6/6
交期变更记录,SO-2026-08149,PO20270100593,P0082,SUP002,供应商提前,2027/1/29,2027/1/27,-2,供应商备货充足提前发货,系统,2027/1/24
交期变更记录,SO-2026-07278,,P0084,SUP022,供应商延期,2026/9/26,2026/10/2,6,供应商原材料短缺,系统,2026/9/12
交期变更记录,SO-2026-01113,PO20261000595,P0015,SUP014,客户加急,2026/10/20,2026/10/8,-12,客户生产线紧急启动,计划员,2026/10/15
交期变更记录,SO-2026-05464,,P0002,SUP030,供应商延期,2027/2/20,2027/2/27,7,原材料到货延迟,供应商,2027/2/3
交期变更记录,SO-2026-09183,PO20261100597,P0073,SUP028,物料短缺,2026/11/20,2026/11/17,-3,电子元器件市场缺货,系统,2026/11/18
交期变更记录,SO-2026-05352,PO20260900598,P0091,SUP008,供应商延期,2026/9/9,2026/9/11,2,供应商产线故障维修,采购员,2026/8/16
交期变更记录,SO-2026-00325,PO20261100599,P0034,SUP019,物流问题,2026/11/14,2026/11/27,13,港口拥堵导致船期延误,系统,2026/10/23
交期变更记录,SO-2026-08926,PO20261100600,P0005,SUP025,物料短缺,2026/11/25,2026/11/12,-13,关键芯片供应紧张,系统,2026/11/16
交期变更记录,SO-2026-04063,PO20261200601,P0076,SUP004,供应商延期,2026/12/19,2027/1/6,18,供应商原材料短缺,计划员,2026/11/27
交期变更记录,SO-2026-01146,,P0085,SUP026,供应商延期,2026/6/12,2026/7/2,20,恶劣天气影响运输,计划员,2026/5/21
交期变更记录,SO-2026-08370,PO20260700603,P0055,SUP002,客户延后,2026/7/11,2026/7/20,9,客户销售计划调整,系统,2026/6/25
交期变更记录,SO-2026-10708,PO20260600604,P0063,SUP024,供应商延期,2026/6/13,2026/6/22,9,物流运输途中延误,采购员,2026/5/21
交期变更记录,SO-2026-03250,PO20261000605,P0084,SUP035,供应商提前,2026/10/18,2026/10/11,-7,供应商备货充足提前发货,系统,2026/9/18
交期变更记录,SO-2026-04315,PO20260900606,P0007,SUP006,客户加急,2026/9/10,2026/8/29,-12,客户展会提前需要,计划员,2026/8/17
交期变更记录,SO-2026-06767,PO20270500607,P0081,SUP037,供应商延期,2027/5/11,2027/5/31,20,质量检验不合格返工,采购员,2027/4/27
交期变更记录,SO-2026-08760,PO20260500608,P0025,SUP025,物料短缺,2026/5/31,2026/5/23,-8,PCB板交期延长,计划员,2026/5/25
交期变更记录,SO-2026-11461,PO20260600609,P0018,SUP025,供应商延期,2026/6/11,2026/6/30,19,工人返岗率不足,采购员,2026/6/10
交期变更记录,SO-2026-09729,PO20260300610,P0008,SUP005,供应商延期,2026/3/13,2026/3/26,13,物流运输途中延误,系统,2026/3/1
交期变更记录,SO-2026-13073,,P0005,SUP029,供应商延期,2026/6/11,2026/6/29,18,供应商原材料短缺,采购员,2026/6/9
交期变更记录,SO-2026-12515,,P0085,SUP026,供应商延期,2026/6/12,2026/6/14,2,供应商原材料短缺,系统,2026/5/29
交期变更记录,SO-2026-08550,,P0077,SUP003,物流问题,2026/6/28,2026/7/6,8,港口拥堵导致船期延误,计划员,2026/6/14
交期变更记录,SO-2026-12445,PO20260600614,P0071,SUP035,供应商延期,2026/6/14,2026/6/15,1,原材料到货延迟,系统,2026/5/26
交期变更记录,SO-2026-13191,,P0086,SUP011,供应商延期,2026/6/12,2026/6/16,4,质量检验不合格返工,计划员,2026/6/7
交期变更记录,SO-2026-04082,PO20260600616,P0015,SUP017,供应商延期,2026/6/15,2026/6/16,1,质量检验不合格返工,系统,2026/5/31
交期变更记录,SO-2026-00022,PO20270100617,P0003,SUP030,物流问题,2027/1/22,2027/2/3,12,运输车辆故障,系统,2027/1/18
交期变更记录,SO-2026-10536,,P0008,SUP026,供应商延期,2026/6/13,2026/6/19,6,供应商原材料短缺,系统,2026/5/16
交期变更记录,SO-2026-11037,PO20260600619,P0061,SUP032,供应商提前,2026/6/10,2026/6/5,-5,供应商备货充足提前发货,计划员,2026/5/15
交期变更记录,SO-2026-13111,,P0010,SUP009,供应商延期,2026/6/13,2026/7/2,19,物流运输途中延误,计划员,2026/5/24
交期变更记录,SO-2026-10424,,P0022,SUP022,供应商延期,2026/6/15,2026/6/25,10,供应商产线故障维修,系统,2026/6/14
交期变更记录,SO-2026-13811,PO20260800622,P0097,SUP036,客户加急,2026/8/14,2026/7/31,-14,客户生产线紧急启动,系统,2026/7/28
交期变更记录,SO-2026-13605,PO20260800623,P0014,SUP022,供应商延期,2026/8/17,2026/8/27,10,供应商原材料短缺,系统,2026/8/11
交期变更记录,SO-2026-04132,,P0062,SUP010,供应商延期,2027/2/19,2027/3/3,12,恶劣天气影响运输,系统,2027/1/27
交期变更记录,SO-2026-09761,PO20260700625,P0066,SUP016,供应商延期,2026/7/14,2026/7/15,1,供应商原材料短缺,系统,2026/6/30
交期变更记录,SO-2026-00129,PO20260800626,P0062,SUP035,物流问题,2026/8/26,2026/9/2,7,跨境物流清关延迟,采购员,2026/8/11
交期变更记录,SO-2026-08622,PO20270100627,P0005,SUP027,物料短缺,2027/1/11,2026/12/29,-13,电子元器件市场缺货,计划员,2027/1/4
交期变更记录,SO-2026-13712,PO20260800628,P0046,SUP024,供应商延期,2026/8/18,2026/8/21,3,原材料到货延迟,系统,2026/8/11
交期变更记录,SO-2026-03868,,P0075,SUP029,客户加急,2027/2/14,2027/1/31,-14,客户展会提前需要,系统,2027/1/19
交期变更记录,SO-2026-08124,PO20260800630,P0046,SUP004,供应商延期,2026/8/7,2026/8/21,14,恶劣天气影响运输,计划员,2026/7/26
交期变更记录,SO-2026-01149,,P0066,SUP020,供应商延期,2026/6/20,2026/6/29,9,质量检验不合格返工,计划员,2026/6/10
交期变更记录,SO-2026-12270,PO20260700632,P0071,SUP004,供应商延期,2026/7/23,2026/8/1,9,物流运输途中延误,计划员,2026/7/11
交期变更记录,SO-2026-08239,PO20270100633,P0092,SUP030,供应商延期,2027/1/25,2027/2/5,11,设备故障维修影响产出,计划员,2027/1/21
交期变更记录,SO-2026-01103,PO20270500634,P0005,SUP034,供应商延期,2027/5/6,2027/5/9,3,供应商原材料短缺,系统,2027/4/12
交期变更记录,SO-2026-13157,PO20260600635,P0060,SUP026,供应商提前,2026/6/15,2026/6/14,-1,供应商优化排产,系统,2026/5/17
交期变更记录,SO-2026-02509,PO20260800636,P0063,SUP013,供应商延期,2026/8/15,2026/8/23,8,恶劣天气影响运输,系统,2026/7/24
交期变更记录,SO-2026-08293,PO20261100637,P0058,SUP036,供应商延期,2026/11/11,2026/11/24,13,春节假期停工导致产能不足,采购员,2026/11/9
交期变更记录,SO-2026-10259,PO20260600638,P0008,SUP031,物流问题,2026/6/13,2026/6/19,6,港口拥堵导致船期延误,系统,2026/6/5
交期变更记录,SO-2026-07752,PO20261200639,P0070,SUP007,物料短缺,2026/12/25,2026/12/22,-3,PCB板交期延长,计划员,2026/12/13
交期变更记录,SO-2026-10323,,P0060,SUP014,供应商延期,2026/6/12,2026/6/20,8,物流受阻导致原料延迟到厂,计划员,2026/5/23
交期变更记录,SO-2026-13957,,P0062,SUP009,客户加急,2026/8/7,2026/7/26,-12,竞品上市压力,系统,2026/8/5
交期变更记录,SO-2026-09276,PO20270500642,P0020,SUP009,供应商延期,2027/5/21,2027/6/8,18,上游芯片短缺传导影响,计划员,2027/4/21
交期变更记录,SO-2026-10056,PO20260600643,P0087,SUP025,物流问题,2026/6/14,2026/6/24,10,空运舱位不足改海运,计划员,2026/5/30
交期变更记录,SO-2026-09308,,P0060,SUP011,供应商延期,2026/10/11,2026/10/19,8,环保检查停产整顿,系统,2026/10/9
交期变更记录,SO-2026-05857,PO20260900645,P0044,SUP002,供应商延期,2026/9/24,2026/9/30,6,物流运输途中延误,采购员,2026/9/23
交期变更记录,SO-2026-04950,,P0002,SUP013,供应商延期,2026/10/2,2026/10/22,20,质量异常批量返工,系统,2026/9/22
交期变更记录,SO-2026-13441,PO20260700647,P0033,SUP032,供应商延期,2026/7/12,2026/7/22,10,原材料供应紧张导致排产延后,采购员,2026/7/11
交期变更记录,SO-2026-01321,PO20261100648,P0053,SUP022,物流问题,2026/11/6,2026/11/16,10,港口拥堵导致船期延误,计划员,2026/10/28
交期变更记录,SO-2026-09350,,P0027,SUP025,客户加急,2026/11/19,2026/11/6,-13,竞品上市压力,计划员,2026/10/31
交期变更记录,SO-2026-02273,,P0030,SUP005,客户加急,2026/6/27,2026/6/21,-6,终端市场需求激增,供应商,2026/6/26
交期变更记录,SO-2026-06347,PO20260500651,P0085,SUP019,客户加急,2026/5/11,2026/5/2,-9,终端市场需求激增,供应商,2026/5/5
交期变更记录,SO-2026-06261,PO20261200652,P0034,SUP010,物流问题,2026/12/13,2026/12/22,9,跨境物流清关延迟,采购员,2026/11/28
交期变更记录,SO-2026-12882,PO20260600653,P0019,SUP027,供应商延期,2026/6/11,2026/6/14,3,原材料到货延迟,计划员,2026/5/29
交期变更记录,SO-2026-07803,,P0019,SUP031,物料短缺,2026/5/14,2026/5/10,-4,电子元器件市场缺货,系统,2026/4/26
交期变更记录,SO-2026-13121,PO20260600655,P0032,SUP025,供应商延期,2026/6/14,2026/6/22,8,上游芯片短缺传导影响,采购员,2026/6/8
交期变更记录,SO-2026-09911,,P0018,SUP020,客户加急,2027/4/26,2027/4/23,-3,客户生产线紧急启动,计划员,2027/3/30
交期变更记录,SO-2026-03256,PO20261200657,P0083,SUP020,供应商延期,2026/12/31,2027/1/16,16,上游芯片短缺传导影响,供应商,2026/12/22
交期变更记录,SO-2026-10482,PO20260600658,P0019,SUP031,供应商延期,2026/6/11,2026/6/25,14,工人返岗率不足,采购员,2026/5/28
交期变更记录,SO-2026-02490,PO20260800659,P0032,SUP024,供应商延期,2026/8/29,2026/9/3,5,原材料到货延迟,供应商,2026/8/15
交期变更记录,SO-2026-03394,,P0091,SUP003,物流问题,2027/1/29,2027/2/1,3,跨境物流清关延迟,系统,2027/1/12
交期变更记录,SO-2026-12792,PO20260600661,P0034,SUP026,客户加急,2026/6/14,2026/6/4,-10,客户生产线紧急启动,采购员,2026/5/21
交期变更记录,SO-2026-03899,,P0051,SUP029,供应商延期,2026/12/16,2027/1/4,19,恶劣天气影响运输,系统,2026/12/9
交期变更记录,SO-2026-01354,PO20270500663,P0023,SUP037,供应商延期,2027/5/8,2027/5/15,7,物流运输途中延误,计划员,2027/4/18
交期变更记录,SO-2026-05515,PO20270300664,P0013,SUP033,物流问题,2027/3/25,2027/4/1,7,运输车辆故障,供应商,2027/3/24
交期变更记录,SO-2026-04000,,P0033,SUP014,物料短缺,2027/1/21,2027/1/15,-6,电子元器件市场缺货,计划员,2027/1/7
交期变更记录,SO-2026-07344,PO20270300666,P0077,SUP009,供应商延期,2027/3/3,2027/3/8,5,物流运输途中延误,计划员,2027/2/27
交期变更记录,SO-2026-01735,PO20270300667,P0047,SUP036,供应商延期,2027/3/18,2027/3/24,6,供应商产线故障维修,系统,2027/2/16
交期变更记录,SO-2026-07620,PO20260900668,P0091,SUP019,供应商延期,2026/9/15,2026/10/5,20,环保检查停产整顿,系统,2026/9/14
交期变更记录,SO-2026-09952,PO20260800669,P0069,SUP012,供应商延期,2026/8/8,2026/8/11,3,供应商原材料短缺,系统,2026/7/9
交期变更记录,SO-2026-08825,PO20261200670,P0007,SUP013,物料短缺,2026/12/23,2026/12/10,-13,显示屏面板缺货,计划员,2026/12/13
交期变更记录,SO-2026-12951,PO20260600671,P0009,SUP022,供应商延期,2026/6/14,2026/6/20,6,恶劣天气影响运输,系统,2026/5/22
交期变更记录,SO-2026-08450,PO20270400672,P0089,SUP033,供应商延期,2027/4/3,2027/4/20,17,原材料供应紧张导致排产延后,计划员,2027/3/17
交期变更记录,SO-2026-03228,,P0082,SUP031,客户加急,2026/11/9,2026/11/4,-5,展会样品急需,系统,2026/10/30
交期变更记录,SO-2026-12579,PO20260600674,P0083,SUP004,供应商延期,2026/6/13,2026/6/30,17,供应商产线故障维修,计划员,2026/6/6
交期变更记录,SO-2026-07391,PO20260400675,P0062,SUP037,客户加急,2026/4/7,2026/3/27,-11,竞品上市压力,计划员,2026/3/14
交期变更记录,SO-2026-02616,PO20260600676,P0093,SUP035,供应商提前,2026/6/23,2026/6/20,-3,供应商优化排产,供应商,2026/5/29
交期变更记录,SO-2026-10597,PO20260600677,P0090,SUP028,客户加急,2026/6/11,2026/6/4,-7,补货订单加急处理,计划员,2026/5/17
交期变更记录,SO-2026-13585,,P0048,SUP035,物流问题,2026/6/26,2026/7/2,6,港口拥堵导致船期延误,采购员,2026/5/29
交期变更记录,SO-2026-12653,PO20260600679,P0030,SUP013,物料短缺,2026/6/13,2026/5/31,-13,关键芯片供应紧张,系统,2026/5/26
交期变更记录,SO-2026-07639,,P0074,SUP027,供应商延期,2026/7/18,2026/7/23,5,供应商原材料短缺,系统,2026/7/14
交期变更记录,SO-2026-02031,PO20261100681,P0082,SUP021,供应商延期,2026/11/8,2026/11/20,12,供应商原材料短缺,供应商,2026/10/28
交期变更记录,SO-2026-05899,PO20261000682,P0052,SUP026,供应商延期,2026/10/19,2026/11/5,17,设备故障维修影响产出,计划员,2026/10/7
交期变更记录,SO-2026-10329,PO20260600683,P0094,SUP017,供应商延期,2026/6/15,2026/6/21,6,物流运输途中延误,计划员,2026/6/13
交期变更记录,SO-2026-10966,PO20260600684,P0047,SUP022,供应商延期,2026/6/16,2026/7/1,15,供应商原材料短缺,系统,2026/5/19
交期变更记录,SO-2026-10608,,P0010,SUP023,供应商延期,2026/6/12,2026/6/14,2,供应商原材料短缺,系统,2026/6/1
交期变更记录,SO-2026-05770,PO20260700686,P0070,SUP017,供应商延期,2026/7/2,2026/7/8,6,物流运输途中延误,系统,2026/6/15
交期变更记录,SO-2026-07470,,P0026,SUP019,供应商延期,2026/6/25,2026/7/11,16,质量检验不合格返工,系统,2026/6/11
交期变更记录,SO-2026-02128,PO20261000688,P0032,SUP002,物料短缺,2026/10/7,2026/9/28,-9,PCB板交期延长,供应商,2026/9/10
交期变更记录,SO-2026-06500,PO20261200689,P0045,SUP005,供应商延期,2026/12/7,2026/12/9,2,质量检验不合格返工,计划员,2026/12/5
交期变更记录,SO-2026-12240,,P0083,SUP018,物料短缺,2026/7/19,2026/7/8,-11,PCB板交期延长,计划员,2026/7/5
交期变更记录,SO-2026-06783,PO20261200691,P0082,SUP022,供应商延期,2026/12/13,2026/12/15,2,质量检验不合格返工,客户,2026/11/23
交期变更记录,SO-2026-01578,,P0026,SUP005,物流问题,2026/11/3,2026/11/10,7,港口拥堵导致船期延误,供应商,2026/10/20
交期变更记录,SO-2026-07666,PO20260800693,P0023,SUP031,客户加急,2026/8/9,2026/8/3,-6,展会样品急需,系统,2026/8/4
交期变更记录,SO-2026-05354,PO20261100694,P0067,SUP010,物流问题,2026/11/25,2026/12/3,8,港口拥堵导致船期延误,计划员,2026/11/12
交期变更记录,SO-2026-01451,,P0040,SUP001,客户加急,2027/5/30,2027/5/23,-7,客户展会提前需要,系统,2027/5/18
交期变更记录,SO-2026-00050,,P0040,SUP032,物流问题,2026/7/16,2026/7/25,9,港口拥堵导致船期延误,系统,2026/6/30
交期变更记录,SO-2026-10545,,P0072,SUP037,客户加急,2026/6/13,2026/6/1,-12,客户展会提前需要,供应商,2026/5/25
交期变更记录,SO-2026-08465,,P0061,SUP003,物流问题,2026/6/3,2026/6/14,11,跨境物流清关延迟,采购员,2026/5/11
交期变更记录,SO-2026-09204,PO20260400699,P0036,SUP010,客户加急,2026/4/29,2026/4/18,-11,客户展会提前需要,采购员,2026/4/26
交期变更记录,SO-2026-07657,PO20260300700,P0096,SUP009,供应商延期,2026/3/16,2026/4/2,17,物流运输途中延误,系统,2026/2/16
交期变更记录,SO-2026-03355,,P0030,SUP020,供应商延期,2027/1/12,2027/1/19,7,质量检验不合格返工,计划员,2026/12/19
交期变更记录,SO-2026-05846,,P0009,SUP031,供应商延期,2026/9/15,2026/9/30,15,供应商原材料短缺,计划员,2026/8/26
交期变更记录,SO-2026-05598,,P0037,SUP020,供应商延期,2027/4/21,2027/4/25,4,供应商原材料短缺,系统,2027/3/22
交期变更记录,SO-2026-00622,,P0089,SUP011,客户加急,2026/8/17,2026/8/13,-4,竞品上市压力需抢先出货,采购员,2026/7/24
交期变更记录,SO-2026-02899,PO20270200705,P0074,SUP021,供应商延期,2027/2/23,2027/3/15,20,供应商原材料短缺,系统,2027/1/28
交期变更记录,SO-2026-09187,PO20270100706,P0091,SUP037,供应商提前,2027/1/24,2027/1/17,-7,供应商产能释放提前,系统,2027/1/16
交期变更记录,SO-2026-05492,PO20270400707,P0006,SUP002,供应商延期,2027/4/15,2027/4/29,14,春节假期停工导致产能不足,计划员,2027/4/2
交期变更记录,SO-2026-01607,,P0015,SUP018,客户加急,2026/12/23,2026/12/20,-3,竞品上市压力,系统,2026/12/13
交期变更记录,SO-2026-01009,PO20260400709,P0015,SUP007,物料短缺,2026/4/18,2026/4/6,-12,电子元器件市场缺货,系统,2026/4/17
交期变更记录,SO-2026-13159,PO20260600710,P0060,SUP014,供应商延期,2026/6/13,2026/6/19,6,供应商产线故障维修,系统,2026/5/18
交期变更记录,SO-2026-02261,PO20270300711,P0096,SUP030,供应商延期,2027/3/23,2027/3/26,3,电力限产政策影响,系统,2027/3/18
交期变更记录,SO-2026-11131,PO20260600712,P0083,SUP022,物料短缺,2026/6/12,2026/6/2,-10,电子元器件市场缺货,计划员,2026/5/24
交期变更记录,SO-2026-13685,,P0074,SUP010,物流问题,2026/7/2,2026/7/11,9,跨境物流清关延迟,系统,2026/6/24
交期变更记录,SO-2026-11031,PO20260600714,P0002,SUP029,客户加急,2026/6/12,2026/5/29,-14,展会样品急需,系统,2026/6/7
交期变更记录,SO-2026-06699,PO20260700715,P0079,SUP031,物料短缺,2026/7/11,2026/6/29,-12,关键芯片供应紧张,采购员,2026/6/14
交期变更记录,SO-2026-08934,PO20261100716,P0022,SUP021,物流问题,2026/11/19,2026/11/28,9,跨境物流清关延迟,计划员,2026/10/21
交期变更记录,SO-2026-03225,PO20270400717,P0062,SUP029,供应商延期,2027/4/25,2027/5/10,15,物流运输途中延误,计划员,2027/3/30
交期变更记录,SO-2026-04637,PO20261000718,P0092,SUP021,供应商延期,2026/10/3,2026/10/19,16,供应商产线故障维修,采购员,2026/9/4
交期变更记录,SO-2026-03373,PO20260600719,P0020,SUP003,物料短缺,2026/6/12,2026/6/5,-7,PCB板交期延长,系统,2026/6/9
交期变更记录,SO-2026-10290,PO20260600720,P0037,SUP021,供应商延期,2026/6/15,2026/6/18,3,原材料到货延迟,系统,2026/6/5
交期变更记录,SO-2026-07369,,P0076,SUP025,供应商延期,2026/12/12,2027/1/1,20,质量检验不合格返工,系统,2026/11/24
交期变更记录,SO-2026-00458,PO20260900722,P0046,SUP014,供应商延期,2026/9/19,2026/10/3,14,质量异常批量返工,供应商,2026/8/28
交期变更记录,SO-2026-11916,,P0081,SUP010,供应商延期,2026/9/3,2026/9/6,3,供应商原材料短缺,系统,2026/8/28
交期变更记录,SO-2026-12310,PO20260800724,P0054,SUP002,供应商延期,2026/8/6,2026/8/26,20,环保检查停产整顿,系统,2026/7/19
交期变更记录,SO-2026-05360,,P0030,SUP007,物料短缺,2026/12/22,2026/12/15,-7,电子元器件市场缺货,系统,2026/11/26
交期变更记录,SO-2026-13666,PO20260700726,P0067,SUP009,物流问题,2026/7/17,2026/7/28,11,港口拥堵导致船期延误,采购员,2026/7/1
交期变更记录,SO-2026-05947,PO20260500727,P0040,SUP025,供应商延期,2026/5/8,2026/5/21,13,原材料到货延迟,计划员,2026/5/6
交期变更记录,SO-2026-00360,PO20260600728,P0094,SUP015,供应商延期,2026/6/7,2026/6/12,5,上游芯片短缺传导影响,采购员,2026/6/2
交期变更记录,SO-2026-08162,,P0065,SUP015,供应商延期,2026/5/22,2026/6/11,20,供应商原材料短缺,计划员,2026/5/2
交期变更记录,SO-2026-03570,PO20270300730,P0071,SUP016,物料短缺,2027/3/25,2027/3/10,-15,关键芯片供应紧张,系统,2027/3/14
交期变更记录,SO-2026-05238,PO20261100731,P0045,SUP027,供应商延期,2026/11/23,2026/12/13,20,质量检验不合格返工,供应商,2026/11/16
交期变更记录,SO-2026-09191,PO20260400732,P0069,SUP001,供应商延期,2026/4/14,2026/4/29,15,恶劣天气影响运输,系统,2026/4/10
交期变更记录,SO-2026-07000,,P0020,SUP014,物流问题,2026/8/12,2026/8/25,13,运输车辆故障,系统,2026/8/10
交期变更记录,SO-2026-04493,PO20270500734,P0015,SUP021,客户加急,2027/5/9,2027/5/6,-3,客户展会提前需要,计划员,2027/4/18
交期变更记录,SO-2026-02096,PO20260900735,P0023,SUP015,供应商延期,2026/9/25,2026/10/11,16,物流运输途中延误,系统,2026/9/15
交期变更记录,SO-2026-05098,,P0054,SUP035,供应商延期,2027/2/20,2027/3/9,17,供应商产线故障维修,系统,2027/2/10
交期变更记录,SO-2026-07427,PO20270200737,P0084,SUP007,物料短缺,2027/2/4,2027/1/20,-15,PCB板交期延长,计划员,2027/1/9
交期变更记录,SO-2026-03509,PO20261200738,P0088,SUP013,供应商延期,2026/12/10,2026/12/12,2,恶劣天气影响运输,系统,2026/11/19
交期变更记录,SO-2026-06737,PO20260600739,P0044,SUP005,物流问题,2026/6/7,2026/6/18,11,跨境物流清关延迟,系统,2026/5/23
